instant,Day.Of.Week,Month,Day,Returning.Visits,target
2066,1,5,10,579,5092
2067,2,5,11,834,6563
2068,3,5,12,747,6124
2069,4,5,13,710,5817
2070,5,5,14,646,6057
2071,6,5,15,646,4958
2072,7,5,16,443,3651
2073,1,5,17,554,4248
2074,2,5,18,643,5624
2075,3,5,19,634,5595
2076,4,5,20,640,5213
2077,5,5,21,618,5156
2078,6,5,22,527,4350
2079,7,5,23,405,3446
2080,1,5,24,490,3945
2081,2,5,25,556,4639
2082,3,5,26,653,5224
2083,4,5,27,631,5242
2084,5,5,28,595,4939
2085,6,5,29,537,4387
2086,7,5,30,394,3327
2087,1,5,31,437,3692
2088,2,6,1,574,4734
2089,3,6,2,633,4727
2090,4,6,3,630,4994
2091,5,6,4,577,4767
2092,6,6,5,469,4124
2093,7,6,6,380,3230
2094,1,6,7,475,3906
2095,2,6,8,599,4895
2096,3,6,9,594,4871
2097,4,6,10,588,4989
2098,5,6,11,545,4633
2099,6,6,12,535,4475
2100,7,6,13,362,2967
2101,1,6,14,402,3507
2102,2,6,15,554,4337
2103,3,6,16,497,4470
2104,4,6,17,552,4439
2105,5,6,18,545,4895
2106,6,6,19,452,3924
2107,7,6,20,339,2827
2108,1,6,21,412,3481
2109,2,6,22,558,4627
2110,3,6,23,543,4561
2111,4,6,24,539,4626
2112,5,6,25,547,4137
2113,6,6,26,427,3555
2114,7,6,27,319,2671
2115,1,6,28,402,3486
2116,2,6,29,503,4000
2117,3,6,30,460,3828
2118,4,7,1,450,3935
2119,5,7,2,484,3633
2120,6,7,3,354,2997
2121,7,7,4,284,2194
2122,1,7,5,362,2948
2123,2,7,6,491,4049
2124,3,7,7,513,3792
2125,4,7,8,483,4029
2126,5,7,9,452,3945
2127,6,7,10,447,3523
2128,7,7,11,316,2646
2129,1,7,12,398,3454
2130,2,7,13,457,3703
2131,3,7,14,456,3680
2132,4,7,15,431,3479
2133,5,7,16,453,3756
2134,6,7,17,435,3289
2135,7,7,18,286,2416
2136,1,7,19,305,2793
2137,2,7,20,453,3749
2138,3,7,21,439,3786
2139,4,7,22,473,4002
2140,5,7,23,508,3823
2141,6,7,24,361,3430
2142,7,7,25,280,2400
2143,1,7,26,338,2835
2144,2,7,27,508,4001
2145,3,7,28,444,3795
2146,4,7,29,419,3903
2147,5,7,30,422,3397
2148,6,7,31,430,3005
2149,7,8,1,271,2305
2150,1,8,2,292,2696
2151,2,8,3,446,3866
2152,3,8,4,445,3826
2153,4,8,5,440,3673
2154,5,8,6,436,3660
2155,6,8,7,423,3136
2156,7,8,8,274,2223
2157,1,8,9,297,2623
2158,2,8,10,420,3638
2159,3,8,11,484,3740
2160,4,8,12,427,3767
2161,5,8,13,458,3621
2162,6,8,14,386,2971
2163,7,8,15,323,2221
2164,1,8,16,351,2724
2165,2,8,17,457,3456
2166,3,8,18,499,3581
2167,4,8,19,267,2064
